company,Sector
PT.  YAKULT INDONESIA PERSADA,Perdagangan
PT. ADHIKARYA PERKASA,Perdagangan
PT. ADIMITRA ANEKA UTAMA,Perdagangan
PT. AGRU FARMA TEKNOLOGI,Perdagangan
PT. AGUNG MANUFAKTUR DESAINDO,Perdagangan
PT. AIRLOCK INDONESIA JAYA RAYA,Perdagangan
PT. ALCARI,Perdagangan
PT. ALDIKA PUTERA MITRA UTAMA,Perdagangan
PT. ALFA POLIMER INDONESIA,Perdagangan
PT. ALUMINIUM EXTRUSION INDONESIA(ALEXINDO),Perdagangan
PT. ANEKA PIRANTI INTIKARSA,Perdagangan
PT. ANUGERAH TUNAS MULIA,Perdagangan
PT. APM ARMADA AUTOPARTS,Perdagangan
PT. ARISTA LATINDO,Perdagangan
PT. ARTHA JAYA INTINUSA,Perdagangan
PT. ARTO LANGGENG REJEKI,Perdagangan
PT. AYOE INDOTAMA TEXTILE,Perdagangan
PT. BAHAGIA SEJAHTERA MANDIRI,Perdagangan
PT. BAHANA AKURASI TEKNOLOGI,Perdagangan
PT. BAJA MURNI KHARISMA PERSADA,Perdagangan
PT. BANSHU PLASTIK INDONESIA,Perdagangan
PT. BEKASI FAJAR INDUSTRIAL ESTATE Tbk,Perdagangan
PT. BEST MEGA INDUSTRI,Perdagangan
PT. BINA CITRA KHARISMA LESTARI,Perdagangan
PT. BINA NIAGA MULTIUSAHA,Perdagangan
PT. BINTANG UTAMA SENTOSA,Perdagangan
PT. BOEHME INDONESIA,Perdagangan
PT. BRITE POLYMER,Perdagangan
PT. CAMAR SAKTI,Perdagangan
PT. CATINDO,Perdagangan
PT. CENGKARENG PERMAI,Perdagangan
PT. CHIYO PERSADA PRATAMA,Perdagangan
PT. CIPLASINDO MAKMUR SEJAHTERA,Perdagangan
PT. CIPTA KREASI TEKSTIL,Perdagangan
PT. CIPTA MANDIRI WIRASAKTI,Perdagangan
PT. CITRA ABADI FOOD,Perdagangan
PT. CITRA GALVANIZING INDONESIA,Perdagangan
PT. CITRA TERUS MAKMUR,Perdagangan
PT. COCO AGER INDONESIA,Perdagangan
PT. DELTA SURYA ENERGY,Perdagangan
PT. DI LIMA MULTI TEHNIK,Perdagangan
PT. DONG SUNG TOOLS,Perdagangan
PT. DURO BANGUN INDONESIA,Perdagangan
PT. EKAMANT INDONESIA,Perdagangan
PT. EKSONINDO MULTI PRODUCT INDUSTRY,Perdagangan
PT. ELEGANT INDONESIA,Perdagangan
PT. ELEGANT TEXTILE INDUSTRY,Perdagangan
PT. ELIM TECH,Perdagangan
PT. ELIZABETH HANJAYA,Perdagangan
PT. EMART PRATAMA CADOFA,Perdagangan
PT. EMBEE PLUMBON TEKSTIL,Perdagangan
PT. FASTKO KARSA PARAMARTA,Perdagangan
PT. FAVORI CORP SEDAYA,Perdagangan
PT. FUJI PROSPEK INDONESIA,Perdagangan
PT. FUKOKU TOKAI RUBBER INDONESIA,Perdagangan
PT. GAWIH JAYA,Perdagangan
PT. GLOBAL ASIA CHEMICALS,Perdagangan
PT. GLOSTAR INDONESIA,Perdagangan
PT. GREGAH SUKSES MANDIRI ENGINEERING,Perdagangan
PT. GUNAJAYA SANTOSA,Perdagangan
PT. HAMSINA JAYA,Perdagangan
PT. HERBA PENAWAR AL WAHIDA INDONESIA,Perdagangan
PT. HITACHI ASTEMO BEKASI POWERTRAIN SYSTEMS,Perdagangan
PT. HOKKAN DELTAPACK INDUSTRI,Perdagangan
PT. HON CHUAN INDONESIA,Perdagangan
PT. HYUNDAI MOBIL INDONESIA,Perdagangan
PT. IK PRECISION INDONESIA,Perdagangan
PT. INDOBIKE DUA ENAM,Perdagangan
PT. INDOMETAL MITRABUANA,Perdagangan
PT. INDONESIA RAYA MAKMUR,Perdagangan
PT. INDORAMA POLYCHEM INDONESIA,Perdagangan
PT. INDORAMA SYNTHETICS TBK,Perdagangan
PT. INDO-RAMA SYNTHETICS TBK,Perdagangan
PT. INDOTAMA FERRO ALLOYS,Perdagangan
PT. INDOWOOYANG,Perdagangan
PT. INTERNATIONAL MACHINERY,Perdagangan
PT. INTI DAYA MANDIRI PRATAMA,Perdagangan
PT. INTI POLYMETAL,Perdagangan
PT. INTIKENCANA WIRAPUTERA,Perdagangan
PT. IWAMA PRIMA TEXTILE MILLS,Perdagangan
PT. JAFA PALMA INDONESIA,Perdagangan
PT. JUAHN INDONESIA,Perdagangan
PT. KAHADE MITRA SEJATI,Perdagangan
PT. KALOKA BINANGUN,Perdagangan
PT. KARYA BUSANA INDONESIA,Perdagangan
PT. KARYA KELOLASEMESTA,Perdagangan
PT. KARYA PUTRA SANGKURIANG,Perdagangan
PT. KARYA SUKSES STEEL,Perdagangan
PT. KINERJA MUTIARA PERSADA,Perdagangan
PT. KUMAR CONTAINERS PVT LTD,Perdagangan
PT. KYG TOOLING INDONESIA,Perdagangan
PT. LAUTAN WARNA SARI,Perdagangan
PT. LE&EN INDOCHACON UTAMA,Perdagangan
PT. LEE FONG INDONESIA,Perdagangan
PT. LESTARI DINI TUNGGUL,Perdagangan
PT. MACHESA MULTI LIFTINDO,Perdagangan
PT. MANGUL JAYA,Perdagangan
PT. MANUNGGAL PERKASA,Perdagangan
PT. MASPLAST POLY FILM,Perdagangan
PT. MAX KREASI INDONESIA,Perdagangan
PT. MEDION ARDHIKA BHAKTI,Perdagangan
PT. MEGAHPUTRA SEJAHTERA,Perdagangan
PT. MEPROFARM,Perdagangan
PT. METALINDO GUNA TEKNIK INDUSTRI,Perdagangan
PT. MIGOTO INDONESIA,Perdagangan
PT. MILPO METALINDO PERKASA,Perdagangan
PT. MITRA KIMIA MAS,Perdagangan
PT. MITRA NIAGA SENTRATAMA,Perdagangan
PT. MOSSA KARYA UTAMA,Perdagangan
PT. MUHTOMAS,Perdagangan
PT. MULTINDO TECHNOLOGY UTAMA,Perdagangan
PT. MULTINDO VELVET INDUSTRIES,Perdagangan
PT. NIRAMAS UTAMA,Perdagangan
PT. NISSIN MANUFACTURING INDONESIA,Perdagangan
PT. NUSATAMA BERKAH TBK,Perdagangan
PT. OAE MANUFAKTUR INDONESIA,Perdagangan
PT. OHM ELECTRONICS INDONESIA,Perdagangan
PT. PADJADJARAN INDAH PRIMA,Perdagangan
PT. PANFILA INDOSARI,Perdagangan
PT. PATRA MAKMUR SEJAHTERA,Perdagangan
PT. PESONA NATASYA GEMILANG,Perdagangan
PT. PINDAD (PERSERO),Perdagangan
PT. POLIWEK INDO UTAMA,Perdagangan
PT. PRANATA JAYA ABADI,Perdagangan
PT. PRATIWI PUTRI SULUNG,Perdagangan
PT. PRESTASI CAHAYA METALINDO,Perdagangan
PT. PRIMA ZEN,Perdagangan
PT. PRO MECHANIC INDONESIA,Perdagangan
PT. PROSPER MEGA INDUSTRI,Perdagangan
PT. QUANTUM INDOKEMIKA SOLUSI,Perdagangan
PT. QUANTUMPLAST INDUSTRY,Perdagangan
PT. RACHMAT PERDANA ADHIMETAL,Perdagangan
PT. RAGAM TANGGUH FORTINDO,Perdagangan
PT. RAMATEX,Perdagangan
PT. RATANSHA PURNAMA ABADI,Perdagangan
PT. RIYANA CIPTA PANGAN INDONESIA,Perdagangan
PT. RODA KAWAN SEJAHTERA,Perdagangan
PT. ROHA LAUTAN PEWARNA,Perdagangan
PT. ROUDO KITA,Perdagangan
PT. SAKA ARTHA KENCANA,Perdagangan
PT. SAM APPAREL MANUFACTURING INDONESIA,Perdagangan
PT. SANDANG MAJALAYA TEXTILE  / SAMATEX,Perdagangan
